business_name,category,2005-04-01,2005-07-01,2005-10-01,2006-01-01,2006-04-01,2006-07-01,2006-10-01,2007-01-01,2007-04-01,2007-07-01,2007-10-01,2008-01-01,2008-04-01,2008-07-01,2008-10-01,2009-01-01,2009-04-01,2009-07-01,2009-10-01,2010-01-01,2010-04-01,2010-07-01,2010-10-01,2011-01-01,2011-04-01,2011-07-01,2011-10-01,2012-01-01,2012-04-01,2012-07-01,2012-10-01,2013-01-01,2013-04-01,2013-07-01,2013-10-01,2014-01-01,2014-04-01,2014-07-01,2014-10-01,2015-01-01,2015-04-01,2015-07-01,2015-10-01,2016-01-01,2016-04-01,2016-07-01,2016-10-01,2017-01-01,2017-04-01,2017-07-01
Rise & Shine - A Steak & Egg Place,American (Traditional),,,,,,,,,,,,,,,,,,,,,,,4.0,4.099999904632568,4.400000095367432,4.400000095367432,3.5999999046325684,3.700000047683716,3.299999952316284,4.199999809265137,4.0,4.199999809265137,3.700000047683716,4.300000190734863,4.0,4.099999904632568,4.599999904632568,4.5,4.0,4.099999904632568,3.700000047683716,4.0,3.5,3.799999952316284,4.199999809265137,4.400000095367432,3.799999952316284,4.099999904632568,4.300000190734863,4.699999809265137
DW Bistro,American (Traditional),,,,,,,,,,,,,,,,,,,,,4.599999904632568,4.800000190734863,4.199999809265137,4.300000190734863,3.799999952316284,4.599999904632568,4.5,4.300000190734863,4.5,4.400000095367432,4.599999904632568,4.400000095367432,4.5,4.300000190734863,4.599999904632568,4.5,4.400000095367432,4.300000190734863,4.400000095367432,4.5,4.300000190734863,4.5,4.099999904632568,4.199999809265137,4.199999809265137,4.300000190734863,3.5999999046325684,4.400000095367432,4.400000095367432,4.300000190734863
The Peppermill Restaurant & Fireside Lounge,American (Traditional),,5.0,5.0,,,4.5,4.0,4.099999904632568,3.799999952316284,4.0,4.300000190734863,4.199999809265137,4.400000095367432,3.9000000953674316,3.299999952316284,3.5999999046325684,4.099999904632568,4.0,4.199999809265137,4.0,4.099999904632568,3.5,3.700000047683716,4.0,3.9000000953674316,3.9000000953674316,4.099999904632568,4.099999904632568,3.9000000953674316,3.9000000953674316,3.799999952316284,3.700000047683716,3.5999999046325684,3.9000000953674316,4.199999809265137,3.9000000953674316,3.799999952316284,3.799999952316284,4.0,3.799999952316284,3.9000000953674316,4.199999809265137,3.9000000953674316,4.099999904632568,4.099999904632568,3.799999952316284,3.799999952316284,4.0,3.799999952316284,4.099999904632568
Margaritaville,American (Traditional),,,,,2.0,3.0,2.0,2.799999952316284,3.5,3.0,3.799999952316284,3.299999952316284,3.200000047683716,3.5999999046325684,3.4000000953674316,3.4000000953674316,3.9000000953674316,3.4000000953674316,2.799999952316284,3.4000000953674316,3.4000000953674316,3.0,3.200000047683716,3.4000000953674316,3.700000047683716,3.5,3.4000000953674316,3.700000047683716,3.200000047683716,3.5999999046325684,3.5,3.700000047683716,3.5999999046325684,3.799999952316284,3.4000000953674316,3.5999999046325684,3.299999952316284,3.5999999046325684,3.700000047683716,3.299999952316284,3.5999999046325684,3.700000047683716,3.5,3.5,3.0999999046325684,3.299999952316284,2.9000000953674316,2.9000000953674316,3.200000047683716,3.200000047683716
Spago by Wolfgang Puck,American (Traditional),,,,3.700000047683716,,3.5,,3.4000000953674316,3.799999952316284,4.0,3.799999952316284,3.700000047683716,3.5,4.199999809265137,3.5999999046325684,4.099999904632568,3.5,3.9000000953674316,4.199999809265137,3.9000000953674316,3.9000000953674316,4.099999904632568,4.099999904632568,4.0,4.099999904632568,3.9000000953674316,3.700000047683716,4.0,4.099999904632568,4.099999904632568,4.199999809265137,4.400000095367432,3.299999952316284,4.099999904632568,4.400000095367432,4.199999809265137,3.5999999046325684,4.300000190734863,3.799999952316284,4.0,4.0,3.9000000953674316,3.5,4.099999904632568,4.099999904632568,4.099999904632568,4.199999809265137,3.799999952316284,3.9000000953674316,3.799999952316284
Buddy V's Ristorante,American (Traditional),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,3.200000047683716,3.799999952316284,4.0,4.099999904632568,3.5999999046325684,3.700000047683716,4.0,4.0,4.199999809265137,4.400000095367432,4.300000190734863,4.099999904632568,4.400000095367432,4.099999904632568,4.5
Hooters Casino Hotel,American (Traditional),,,,3.5,1.5,3.0,5.0,2.5,2.0,3.4000000953674316,2.0,1.899999976158142,1.899999976158142,2.799999952316284,2.5999999046325684,2.4000000953674316,2.700000047683716,2.200000047683716,2.5999999046325684,2.5999999046325684,2.299999952316284,2.299999952316284,2.200000047683716,2.0,2.799999952316284,2.700000047683716,2.200000047683716,2.5999999046325684,2.4000000953674316,2.700000047683716,2.9000000953674316,2.5999999046325684,2.200000047683716,2.5999999046325684,2.4000000953674316,2.299999952316284,2.9000000953674316,2.5,2.299999952316284,2.0,2.200000047683716,2.0,2.299999952316284,2.0999999046325684,1.899999976158142,2.200000047683716,3.0,2.0999999046325684,2.5,1.600000023841858
Mastro's Ocean Club,American (Traditional),,,,,,,,,,,,,,,,,,,,4.699999809265137,4.400000095367432,4.099999904632568,4.800000190734863,4.0,4.199999809265137,4.099999904632568,4.300000190734863,4.300000190734863,4.199999809265137,4.699999809265137,4.400000095367432,4.5,4.5,4.199999809265137,4.300000190734863,4.400000095367432,4.400000095367432,4.400000095367432,4.099999904632568,4.300000190734863,4.400000095367432,4.300000190734863,4.300000190734863,4.5,4.099999904632568,4.300000190734863,4.300000190734863,4.199999809265137,4.199999809265137,4.599999904632568
Bobby's Burger Palace,American (Traditional),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.5999999046325684,3.299999952316284,3.5999999046325684,3.5999999046325684,3.5999999046325684,3.700000047683716,3.700000047683716,3.9000000953674316,4.0,4.099999904632568,4.199999809265137,3.9000000953674316,3.799999952316284,3.799999952316284,3.799999952316284
Mr Mamas,American (Traditional),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.300000190734863,4.800000190734863,4.699999809265137,4.5,4.5,4.599999904632568,4.099999904632568,4.599999904632568,4.699999809265137,4.599999904632568,4.5
MGM Grand Buffet,American (Traditional),,,,,,,2.0,3.700000047683716,3.5,3.200000047683716,3.0,2.0,3.200000047683716,2.700000047683716,2.4000000953674316,2.299999952316284,2.700000047683716,2.700000047683716,2.5999999046325684,2.299999952316284,2.5,2.9000000953674316,2.799999952316284,2.0,2.5,2.5,2.200000047683716,2.299999952316284,2.5,2.4000000953674316,2.0999999046325684,2.799999952316284,2.9000000953674316,3.200000047683716,2.5999999046325684,3.0,2.700000047683716,2.5999999046325684,2.9000000953674316,2.5,2.700000047683716,3.0,2.5,2.200000047683716,2.4000000953674316,2.5999999046325684,2.700000047683716,2.5999999046325684,3.0999999046325684,2.799999952316284
Serendipity 3,American (Traditional),,,,,,,,,,,,,,,,,3.200000047683716,3.200000047683716,3.299999952316284,3.299999952316284,3.0999999046325684,3.299999952316284,3.200000047683716,3.0999999046325684,3.200000047683716,3.0999999046325684,3.0999999046325684,3.200000047683716,3.0999999046325684,2.9000000953674316,2.799999952316284,3.0999999046325684,3.0,2.799999952316284,3.0,3.0,3.0999999046325684,2.799999952316284,2.700000047683716,3.0999999046325684,3.0,3.0999999046325684,3.299999952316284,3.0999999046325684,3.0999999046325684,2.799999952316284,3.0,3.0,2.0,
Grand Lux Cafe,American (Traditional),,,,4.0,3.799999952316284,3.700000047683716,4.0,4.0,3.5999999046325684,4.199999809265137,4.199999809265137,4.300000190734863,3.700000047683716,3.549999952316284,3.850000023841858,3.850000023841858,3.600000023841858,4.099999904632568,3.5,3.950000047683716,3.950000047683716,3.899999976158142,3.950000047683716,3.799999952316284,3.9000000953674316,3.799999952316284,3.6999999284744263,3.8000000715255737,3.899999976158142,3.799999952316284,3.950000047683716,3.8000000715255737,3.5,3.9000000953674316,3.6500000953674316,3.850000023841858,3.75,3.75,3.950000047683716,3.75,3.8000000715255737,3.8000000715255737,3.850000023841858,3.899999976158142,3.700000047683716,3.899999976158142,3.700000047683716,4.099999904632568,4.049999952316284,3.799999952316284
Omelet House,American (Traditional),,,,,,,,,,,,5.0,4.5,4.0,4.0,4.199999809265137,4.0,4.5,3.799999952316284,4.099999904632568,4.300000190734863,4.400000095367432,3.700000047683716,4.300000190734863,3.9000000953674316,4.199999809265137,3.5,3.9000000953674316,4.0,4.199999809265137,3.799999952316284,4.0,4.300000190734863,4.400000095367432,4.400000095367432,4.099999904632568,4.400000095367432,4.400000095367432,4.300000190734863,4.400000095367432,4.300000190734863,4.199999809265137,4.300000190734863,4.300000190734863,4.699999809265137,4.5,4.699999809265137,4.599999904632568,4.699999809265137,4.300000190734863
BabyStacks Cafe,American (Traditional),,,,,,,,,,,,,,,,,,,,,,,4.199999809265137,4.0,4.199999809265137,3.9000000953674316,3.9000000953674316,4.3500001430511475,3.9000000953674316,4.049999952316284,3.899999976158142,4.049999952316284,3.850000023841858,4.1499998569488525,3.9000000953674316,4.200000047683716,4.099999904632568,4.099999904632568,4.1499998569488525,4.049999952316284,4.200000047683716,4.200000047683716,4.200000047683716,4.25,4.150000095367432,4.299999952316284,4.049999952316284,4.1499998569488525,3.9000000953674316,4.25
Hot N Juicy Crawfish,American (Traditional),,,,,,,,,5.0,4.0,4.0,4.199999809265137,4.199999809265137,4.300000190734863,5.0,4.300000190734863,4.400000095367432,4.0,3.5,3.9000000953674316,4.199999809265137,4.099999904632568,4.0,4.0,4.099999904632568,4.0,3.9000000953674316,4.199999809265137,4.0,4.300000190734863,4.099999904632568,4.400000095367432,4.300000190734863,4.199999809265137,4.199999809265137,3.799999952316284,3.9000000953674316,4.300000190734863,4.099999904632568,4.099999904632568,3.700000047683716,4.099999904632568,4.300000190734863,4.0,4.0,4.099999904632568,4.099999904632568,3.700000047683716,4.199999809265137,3.5
Yard House,American (Traditional),,,,,,,,,,,,3.5,4.099999904632568,4.199999809265137,4.199999809265137,3.799999952316284,4.0,4.0,3.5999999046325684,4.199999809265137,4.199999809265137,3.799999952316284,3.9000000953674316,4.099999904632568,4.0,4.300000190734863,3.799999952316284,4.0,4.099999904632568,3.5999999046325684,4.0,3.700000047683716,3.9000000953674316,4.0,3.799999952316284,4.0,3.799999952316284,3.9000000953674316,4.099999904632568,3.9000000953674316,3.5999999046325684,3.9000000953674316,3.5,3.5999999046325684,4.099999904632568,4.099999904632568,3.9000000953674316,4.099999904632568,4.0,4.900000095367432
Cafe Bellagio,American (Traditional),,,,,,,2.0,3.200000047683716,2.799999952316284,3.5,3.0,3.5,3.9000000953674316,3.299999952316284,3.200000047683716,3.299999952316284,3.0,2.299999952316284,3.5,3.0999999046325684,3.4000000953674316,3.5,3.200000047683716,3.5,3.299999952316284,3.200000047683716,3.0,3.4000000953674316,3.0999999046325684,3.200000047683716,3.0999999046325684,3.299999952316284,2.5999999046325684,3.0999999046325684,3.0999999046325684,3.0,3.299999952316284,3.5999999046325684,3.5,2.9000000953674316,3.200000047683716,3.0,3.200000047683716,3.700000047683716,3.700000047683716,3.5999999046325684,3.299999952316284,3.5999999046325684,3.299999952316284,3.0
Bayside Buffet at Mandalay Bay,American (Traditional),,,,,,,,4.5,3.5,2.0,3.5999999046325684,3.799999952316284,4.300000190734863,3.299999952316284,2.799999952316284,3.700000047683716,3.799999952316284,3.299999952316284,3.0999999046325684,3.200000047683716,3.4000000953674316,3.200000047683716,3.200000047683716,3.0,3.0999999046325684,2.9000000953674316,2.700000047683716,2.799999952316284,2.799999952316284,2.9000000953674316,2.4000000953674316,3.4000000953674316,3.0999999046325684,3.299999952316284,2.700000047683716,2.799999952316284,2.4000000953674316,2.5,2.5,2.799999952316284,3.0999999046325684,2.5999999046325684,2.5,2.9000000953674316,2.700000047683716,2.5999999046325684,2.0999999046325684,2.799999952316284,2.5999999046325684,2.200000047683716
Hakkasan Nightclub,Chinese,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.799999952316284,2.799999952316284,2.700000047683716,2.700000047683716,2.9000000953674316,2.5999999046325684,2.700000047683716,2.200000047683716,2.5,2.5,2.299999952316284,2.200000047683716,2.5,2.200000047683716,2.200000047683716,2.0999999046325684,2.4000000953674316,2.200000047683716
Big Wong Restaurant,Chinese,,,,,,,,,,,,,,,,,,,,,,,,,3.5999999046325684,4.0,4.199999809265137,3.9000000953674316,4.0,4.599999904632568,3.9000000953674316,4.199999809265137,4.199999809265137,3.5,3.799999952316284,3.700000047683716,3.200000047683716,3.4000000953674316,3.9000000953674316,4.199999809265137,3.5999999046325684,3.799999952316284,3.299999952316284,3.700000047683716,3.9000000953674316,4.099999904632568,3.700000047683716,3.9000000953674316,3.799999952316284,4.099999904632568
SUSHISAMBA - Las Vegas,Chinese,,,,,,,,,,,,,,3.700000047683716,3.799999952316284,3.5999999046325684,4.0,4.099999904632568,3.700000047683716,3.299999952316284,3.799999952316284,3.700000047683716,3.9000000953674316,3.4000000953674316,3.700000047683716,4.0,3.9000000953674316,3.9000000953674316,3.9000000953674316,4.0,3.799999952316284,4.099999904632568,4.0,4.300000190734863,4.0,4.0,4.099999904632568,4.099999904632568,3.9000000953674316,4.099999904632568,4.300000190734863,4.400000095367432,4.199999809265137,4.099999904632568,4.400000095367432,4.400000095367432,4.0,4.199999809265137,4.0,4.300000190734863
Noodles,Chinese,,,,,5.0,4.0,4.199999809265137,3.299999952316284,3.0,2.799999952316284,2.700000047683716,2.700000047683716,2.299999952316284,3.299999952316284,4.0,3.299999952316284,4.0,3.4000000953674316,3.4000000953674316,3.0,3.0999999046325684,3.200000047683716,3.200000047683716,3.4000000953674316,3.5999999046325684,3.0,2.9000000953674316,3.299999952316284,3.5,3.200000047683716,2.799999952316284,2.5,3.5999999046325684,3.5,3.0999999046325684,3.299999952316284,3.299999952316284,2.9000000953674316,2.9000000953674316,3.299999952316284,3.0999999046325684,3.700000047683716,3.200000047683716,2.799999952316284,3.299999952316284,3.0,3.200000047683716,3.0999999046325684,3.200000047683716,3.5
China Poblano,Chinese,,,,,,,,,,,,,,,,,,,,,,,3.200000047683716,2.799999952316284,2.5999999046325684,3.299999952316284,2.9000000953674316,3.0,3.0,2.9000000953674316,2.700000047683716,3.200000047683716,2.9000000953674316,3.299999952316284,2.799999952316284,3.5,3.4000000953674316,2.799999952316284,3.200000047683716,3.4000000953674316,3.5,3.9000000953674316,3.0999999046325684,3.5,3.5,3.4000000953674316,3.299999952316284,3.9000000953674316,4.199999809265137,3.4000000953674316
Noodle Asia,Chinese,,,,,5.0,,5.0,3.5,3.0,3.9000000953674316,3.0,3.200000047683716,3.5999999046325684,3.700000047683716,3.9000000953674316,3.200000047683716,3.0,3.4000000953674316,3.5,3.299999952316284,3.200000047683716,3.0999999046325684,3.799999952316284,3.4000000953674316,3.700000047683716,3.200000047683716,3.0999999046325684,3.5,3.200000047683716,3.5999999046325684,3.5999999046325684,3.4000000953674316,3.5,3.200000047683716,3.5,3.9000000953674316,3.5,3.200000047683716,3.799999952316284,3.700000047683716,3.299999952316284,3.0999999046325684,3.200000047683716,3.5,3.200000047683716,2.700000047683716,3.299999952316284,3.0999999046325684,2.9000000953674316,3.4000000953674316
Joël  Robuchon,French,,,,,,4.5,5.0,5.0,4.599999904632568,4.199999809265137,5.0,4.800000190734863,4.199999809265137,4.400000095367432,4.800000190734863,4.599999904632568,5.0,4.800000190734863,4.5,4.800000190734863,4.300000190734863,4.400000095367432,4.400000095367432,4.300000190734863,4.5,4.5,4.5,4.5,4.699999809265137,4.300000190734863,4.400000095367432,4.199999809265137,4.400000095367432,4.199999809265137,4.599999904632568,4.300000190734863,4.400000095367432,4.300000190734863,4.199999809265137,4.400000095367432,4.300000190734863,4.400000095367432,4.199999809265137,4.5,4.199999809265137,4.599999904632568,4.300000190734863,4.599999904632568,4.0,4.699999809265137
L'Atelier de Joël Robuchon,French,,,,,,5.0,4.0,,3.700000047683716,4.5,4.599999904632568,4.699999809265137,4.0,4.599999904632568,4.900000095367432,4.400000095367432,4.5,3.9000000953674316,4.199999809265137,3.9000000953674316,3.9000000953674316,4.400000095367432,4.199999809265137,4.300000190734863,4.699999809265137,4.199999809265137,4.300000190734863,3.799999952316284,4.400000095367432,4.599999904632568,4.199999809265137,4.099999904632568,3.9000000953674316,4.5,4.099999904632568,3.5999999046325684,4.699999809265137,4.5,4.300000190734863,4.300000190734863,4.5,4.699999809265137,3.799999952316284,4.099999904632568,4.5,4.400000095367432,3.9000000953674316,4.5,3.9000000953674316,4.599999904632568
MIX,French,5.0,,4.0,3.700000047683716,4.300000190734863,4.5,4.0,4.199999809265137,3.700000047683716,4.099999904632568,3.799999952316284,4.099999904632568,4.099999904632568,3.5999999046325684,3.9000000953674316,3.799999952316284,3.299999952316284,4.0,4.099999904632568,3.799999952316284,3.799999952316284,3.799999952316284,3.799999952316284,3.799999952316284,3.9000000953674316,3.5999999046325684,3.299999952316284,3.4000000953674316,3.4000000953674316,4.099999904632568,3.799999952316284,3.799999952316284,4.0,4.099999904632568,4.0,4.0,4.0,4.099999904632568,4.0,3.700000047683716,4.5,,,,,4.0,,,,
Bouchon at the Venezia Tower,French,,5.0,4.0,3.799999952316284,4.0,3.5999999046325684,3.4000000953674316,3.9000000953674316,4.300000190734863,4.400000095367432,4.099999904632568,4.199999809265137,4.0,4.0,4.0,4.099999904632568,4.099999904632568,4.099999904632568,4.300000190734863,4.0,4.199999809265137,4.099999904632568,4.0,4.0,4.0,3.799999952316284,3.700000047683716,4.099999904632568,3.9000000953674316,3.700000047683716,3.700000047683716,3.9000000953674316,4.0,4.199999809265137,4.0,3.799999952316284,3.799999952316284,3.9000000953674316,3.9000000953674316,3.9000000953674316,4.0,4.0,3.9000000953674316,4.199999809265137,4.0,3.9000000953674316,3.9000000953674316,4.199999809265137,4.199999809265137,4.5
Eiffel Tower,French,,,,2.5,,,4.0,4.5,3.0,4.199999809265137,3.5,3.799999952316284,3.5,4.099999904632568,4.400000095367432,4.0,4.400000095367432,4.199999809265137,4.699999809265137,4.5,4.199999809265137,4.0,4.099999904632568,4.300000190734863,4.0,4.099999904632568,4.199999809265137,4.099999904632568,4.099999904632568,4.400000095367432,3.799999952316284,4.099999904632568,4.099999904632568,3.9000000953674316,3.5,3.5,4.0,4.099999904632568,4.0,3.799999952316284,4.199999809265137,4.300000190734863,3.799999952316284,4.0,3.9000000953674316,4.0,4.0,4.300000190734863,3.9000000953674316,4.0
Fleur by Hubert Keller,French,,,,,,2.5,4.800000190734863,4.0,3.0,4.0,3.799999952316284,4.199999809265137,3.700000047683716,4.300000190734863,3.299999952316284,4.400000095367432,4.699999809265137,4.5,4.199999809265137,4.199999809265137,4.699999809265137,4.099999904632568,4.5,3.799999952316284,3.5,3.4000000953674316,3.200000047683716,3.5,3.9000000953674316,3.5999999046325684,3.700000047683716,3.5,3.5999999046325684,3.5,3.4000000953674316,3.299999952316284,3.200000047683716,3.700000047683716,3.5,3.9000000953674316,3.700000047683716,3.5999999046325684,3.799999952316284,4.199999809265137,4.199999809265137,3.799999952316284,3.200000047683716,3.4000000953674316,3.9000000953674316,2.799999952316284
